setting_id,prompt_id,best_action_ids,representative_best_action_id,representative_best_action_label,r_star,final_best_action_ids,best_action_set_changed
corruption_penalty=1,144,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,147,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,149,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,151,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,152,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,153,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,155,[0],0,no_op:none:none,1,[0],false
corruption_penalty=1,156,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,157,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,10,19]",false
corruption_penalty=1,158,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,159,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,160,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,162,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,165,"[7,10]",7,intervention:L19_CWE-120_B:Low,-0.05,"[7,10]",false
corruption_penalty=1,166,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,-0.05,"[1,10,19]",false
corruption_penalty=1,168,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,169,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,170,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,-0.05,"[1,10,19]",false
corruption_penalty=1,171,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,172,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,173,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,174,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,176,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,-0.05,"[1,10,19]",false
corruption_penalty=1,177,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,179,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,180,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,181,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,182,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,183,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,184,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,185,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,10,19]",false
corruption_penalty=1,187,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,188,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,190,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,192,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,194,[0],0,no_op:none:none,1.25,[0],false
corruption_penalty=1,195,"[1,10,19]",1,intervention:L16_CWE-120_B:Low,0.95,"[1,10,19]",false
corruption_penalty=1,196,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,197,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,199,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,202,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,203,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,205,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,207,[7],7,intervention:L19_CWE-120_B:Low,0.95,[7],false
corruption_penalty=1,208,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,211,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,213,[0],0,no_op:none:none,1.25,[0],false
corruption_penalty=1,214,[7],7,intervention:L19_CWE-120_B:Low,-0.05,[7],false
corruption_penalty=1,215,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,216,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,218,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,220,[7],7,intervention:L19_CWE-120_B:Low,-0.05,[7],false
corruption_penalty=1,225,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,226,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,227,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,230,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,231,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,232,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,233,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,235,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,237,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,238,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,239,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,240,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,241,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,242,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,243,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,244,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,246,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,248,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,249,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,250,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,251,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,252,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,253,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,254,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,256,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,258,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,259,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,260,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,263,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,264,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,265,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,266,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,269,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,272,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,273,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,274,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,276,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,277,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,278,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,279,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,280,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,281,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,282,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,284,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,286,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,288,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,289,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,290,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,291,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,293,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,294,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,295,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,296,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,297,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,298,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,299,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,300,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,301,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,302,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,304,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,306,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,307,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,308,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,309,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,310,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,311,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,312,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,314,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,315,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,319,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,320,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,321,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,324,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,325,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,328,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,329,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,331,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,335,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,336,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,339,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,341,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,342,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,343,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,344,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,345,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,346,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,347,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,348,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,349,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,351,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,352,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,353,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,354,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,355,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,356,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,357,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,358,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,359,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,360,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,361,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,363,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,364,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,366,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,368,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,369,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,370,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,371,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,372,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,373,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,374,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,376,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,377,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,378,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,379,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,381,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,382,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,383,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,384,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,385,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,386,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,387,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,390,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,391,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,394,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,396,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,397,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,398,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,399,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,400,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,401,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,402,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,403,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,404,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,405,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,406,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,409,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,410,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,412,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,413,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,414,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,415,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,417,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,419,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,420,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,421,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,422,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,423,[0],0,no_op:none:none,1,[0],false
corruption_penalty=1,424,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,425,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,426,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,427,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,428,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,434,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,439,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,441,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,442,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,443,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,444,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,446,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,448,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,450,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,452,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,453,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,454,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,458,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,459,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,461,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,462,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,463,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,464,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,465,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,467,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,470,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,472,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,473,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,474,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,475,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,477,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,478,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,479,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,480,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,482,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,483,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,485,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,486,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,489,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,491,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,492,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,494,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,495,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,496,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,498,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,499,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,502,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,503,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,506,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,510,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,512,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,513,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,515,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,516,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,517,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,518,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,519,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,520,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,522,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,523,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,524,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,525,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,526,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,527,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,528,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,529,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,530,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,531,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,532,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,533,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,535,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,537,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,544,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,545,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,547,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,549,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,550,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,551,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,553,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,554,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,555,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,556,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,558,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,559,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,560,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,561,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,562,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,564,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,565,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,567,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,568,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,572,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,573,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,574,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,575,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,576,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,578,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,579,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,580,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,581,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,582,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,585,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,586,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,587,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,588,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,589,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,590,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,591,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,593,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,594,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,595,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,596,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,597,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,598,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,599,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,602,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,603,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,604,[0],0,no_op:none:none,0,[0],false
corruption_penalty=1,605,[0],0,no_op:none:none,0,[0],false
